subregion1_code,date,type,new_confirmed_pred
MO,2021-11-02,prediction,3077.2616935454366
MO,2021-11-03,prediction,3077.2616935454366
MO,2021-11-04,prediction,3077.2616935454366
MO,2021-11-05,prediction,3077.2616935454366
MO,2021-11-06,forecast,3077.2616935454366
MO,2021-11-07,forecast,3077.2616935454366
MO,2021-11-08,forecast,3077.2616935454366
MO,2021-11-09,forecast,3077.2616935454366
MO,2021-11-10,forecast,3077.2616935454366
MO,2021-11-11,forecast,3077.2616935454366
MO,2021-11-12,forecast,3077.2616935454366
MO,2021-11-13,forecast,3077.2616935454366
MO,2021-11-14,forecast,3077.2616935454366
MO,2021-11-15,forecast,3077.2616935454366
MO,2021-11-16,forecast,3077.2616935454366
MO,2021-11-17,forecast,3077.2616935454366
MO,2021-11-18,forecast,3077.2616935454366
MO,2021-11-19,forecast,3077.2616935454366
MO,2021-11-20,forecast,3077.2616935454366
MO,2021-11-21,forecast,3077.2616935454366
MO,2021-11-22,forecast,3077.2616935454366
MO,2021-11-23,forecast,3077.2616935454366
MO,2021-11-24,forecast,3077.2616935454366
MO,2021-11-25,forecast,3077.2616935454366
MO,2021-11-26,forecast,3077.2616935454366
MO,2021-11-27,forecast,3077.2616935454366
MO,2021-11-28,forecast,3077.2616935454366
MO,2021-11-29,forecast,3077.2616935454366
MO,2021-11-30,forecast,3077.2616935454366
MO,2021-12-01,forecast,3077.2616935454366
MO,2021-12-02,forecast,3077.2616935454366
MO,2021-12-03,forecast,3077.2616935454366
MS,2021-10-16,prediction,3077.2616935454366
MS,2021-10-17,prediction,3077.2616935454366
MS,2021-10-18,prediction,3077.2616935454366
MS,2021-10-19,prediction,3077.2616935454366
MS,2021-10-20,prediction,3077.2616935454366
MS,2021-10-21,prediction,3077.2616935454366
MS,2021-10-22,prediction,3077.2616935454366
MS,2021-10-23,prediction,3077.2616935454366
MS,2021-10-24,prediction,3077.2616935454366
MS,2021-10-25,prediction,3077.2616935454366
MS,2021-10-26,prediction,3077.2616935454366
MS,2021-10-27,prediction,3077.2616935454366
MS,2021-10-28,prediction,3077.2616935454366
MS,2021-10-29,prediction,3077.2616935454366
MS,2021-10-30,prediction,3077.2616935454366
MS,2021-10-31,prediction,3077.2616935454366
MS,2021-11-01,prediction,3077.2616935454366
MS,2021-11-02,prediction,3077.2616935454366
MS,2021-11-03,prediction,3077.2616935454366
MS,2021-11-04,prediction,3077.2616935454366
MS,2021-11-05,prediction,3077.2616935454366
MS,2021-11-06,forecast,3077.2616935454366
MS,2021-11-07,forecast,3077.2616935454366
MS,2021-11-08,forecast,3077.2616935454366
MS,2021-11-09,forecast,3077.2616935454366
MS,2021-11-10,forecast,3077.2616935454366
MS,2021-11-11,forecast,3077.2616935454366
MS,2021-11-12,forecast,3077.2616935454366
MS,2021-11-13,forecast,3077.2616935454366
MS,2021-11-14,forecast,3077.2616935454366
MS,2021-11-15,forecast,3077.2616935454366
MS,2021-11-16,forecast,3077.2616935454366
MS,2021-11-17,forecast,3077.2616935454366
MS,2021-11-18,forecast,3077.2616935454366
MS,2021-11-19,forecast,3077.2616935454366
MS,2021-11-20,forecast,3077.2616935454366
MS,2021-11-21,forecast,3077.2616935454366
MS,2021-11-22,forecast,3077.2616935454366
MS,2021-11-23,forecast,3077.2616935454366
MS,2021-11-24,forecast,3077.2616935454366
MS,2021-11-25,forecast,3077.2616935454366
MS,2021-11-26,forecast,3077.2616935454366
MS,2021-11-27,forecast,3077.2616935454366
MS,2021-11-28,forecast,3077.2616935454366
MS,2021-11-29,forecast,3077.2616935454366
MS,2021-11-30,forecast,3077.2616935454366
MS,2021-12-01,forecast,3077.2616935454366
MS,2021-12-02,forecast,3077.2616935454366
MS,2021-12-03,forecast,3077.2616935454366
MT,2021-10-16,prediction,3077.2616935454366
MT,2021-10-17,prediction,3077.2616935454366
MT,2021-10-18,prediction,3077.2616935454366
MT,2021-10-19,prediction,3077.2616935454366
MT,2021-10-20,prediction,3077.2616935454366
MT,2021-10-21,prediction,3077.2616935454366
MT,2021-10-22,prediction,3077.2616935454366
MT,2021-10-23,prediction,3077.2616935454366
MT,2021-10-24,prediction,3077.2616935454366
MT,2021-10-25,prediction,3077.2616935454366
MT,2021-10-26,prediction,3077.2616935454366
MT,2021-10-27,prediction,3077.2616935454366
MT,2021-10-28,prediction,3077.2616935454366
MT,2021-10-29,prediction,3077.2616935454366
MT,2021-10-30,prediction,3077.2616935454366
MT,2021-10-31,prediction,3077.2616935454366
MT,2021-11-01,prediction,3077.2616935454366
MT,2021-11-02,prediction,3077.2616935454366
MT,2021-11-03,prediction,3077.2616935454366
MT,2021-11-04,prediction,3077.2616935454366
MT,2021-11-05,prediction,3077.2616935454366
MT,2021-11-06,forecast,3077.2616935454366
MT,2021-11-07,forecast,3077.2616935454366
MT,2021-11-08,forecast,3077.2616935454366
MT,2021-11-09,forecast,3077.2616935454366
MT,2021-11-10,forecast,3077.2616935454366
MT,2021-11-11,forecast,3077.2616935454366
MT,2021-11-12,forecast,3077.2616935454366
MT,2021-11-13,forecast,3077.2616935454366
MT,2021-11-14,forecast,3077.2616935454366
MT,2021-11-15,forecast,3077.2616935454366
MT,2021-11-16,forecast,3077.2616935454366
MT,2021-11-17,forecast,3077.2616935454366
MT,2021-11-18,forecast,3077.2616935454366
MT,2021-11-19,forecast,3077.2616935454366
MT,2021-11-20,forecast,3077.2616935454366
MT,2021-11-21,forecast,3077.2616935454366
MT,2021-11-22,forecast,3077.2616935454366
MT,2021-11-23,forecast,3077.2616935454366
MT,2021-11-24,forecast,3077.2616935454366
MT,2021-11-25,forecast,3077.2616935454366
MT,2021-11-26,forecast,3077.2616935454366
MT,2021-11-27,forecast,3077.2616935454366
MT,2021-11-28,forecast,3077.2616935454366
MT,2021-11-29,forecast,3077.2616935454366
MT,2021-11-30,forecast,3077.2616935454366
MT,2021-12-01,forecast,3077.2616935454366
MT,2021-12-02,forecast,3077.2616935454366
MT,2021-12-03,forecast,3077.2616935454366
NC,2021-10-16,prediction,3077.2616935454366
NC,2021-10-17,prediction,3077.2616935454366
NC,2021-10-18,prediction,3077.2616935454366
NC,2021-10-19,prediction,3077.2616935454366
NC,2021-10-20,prediction,3077.2616935454366
NC,2021-10-21,prediction,3077.2616935454366
NC,2021-10-22,prediction,3077.2616935454366
NC,2021-10-23,prediction,3077.2616935454366
NC,2021-10-24,prediction,3077.2616935454366
NC,2021-10-25,prediction,3077.2616935454366
NC,2021-10-26,prediction,3077.2616935454366
NC,2021-10-27,prediction,3077.2616935454366
NC,2021-10-28,prediction,3077.2616935454366
NC,2021-10-29,prediction,3077.2616935454366
NC,2021-10-30,prediction,3077.2616935454366
NC,2021-10-31,prediction,3077.2616935454366
NC,2021-11-01,prediction,3077.2616935454366
NC,2021-11-02,prediction,3077.2616935454366
NC,2021-11-03,prediction,3077.2616935454366
NC,2021-11-04,prediction,3077.2616935454366
NC,2021-11-05,prediction,3077.2616935454366
NC,2021-11-06,forecast,3077.2616935454366
NC,2021-11-07,forecast,3077.2616935454366
NC,2021-11-08,forecast,3077.2616935454366
NC,2021-11-09,forecast,3077.2616935454366
NC,2021-11-10,forecast,3077.2616935454366
NC,2021-11-11,forecast,3077.2616935454366
NC,2021-11-12,forecast,3077.2616935454366
NC,2021-11-13,forecast,3077.2616935454366
NC,2021-11-14,forecast,3077.2616935454366
NC,2021-11-15,forecast,3077.2616935454366
NC,2021-11-16,forecast,3077.2616935454366
NC,2021-11-17,forecast,3077.2616935454366
NC,2021-11-18,forecast,3077.2616935454366
NC,2021-11-19,forecast,3077.2616935454366
NC,2021-11-20,forecast,3077.2616935454366
NC,2021-11-21,forecast,3077.2616935454366
NC,2021-11-22,forecast,3077.2616935454366
NC,2021-11-23,forecast,3077.2616935454366
NC,2021-11-24,forecast,3077.2616935454366
NC,2021-11-25,forecast,3077.2616935454366
NC,2021-11-26,forecast,3077.2616935454366
NC,2021-11-27,forecast,3077.2616935454366
NC,2021-11-28,forecast,3077.2616935454366
NC,2021-11-29,forecast,3077.2616935454366
NC,2021-11-30,forecast,3077.2616935454366
NC,2021-12-01,forecast,3077.2616935454366
NC,2021-12-02,forecast,3077.2616935454366
NC,2021-12-03,forecast,3077.2616935454366
AK,2021-10-16,prediction,3077.2616935454366
AK,2021-10-17,prediction,3077.2616935454366
AK,2021-10-18,prediction,3077.2616935454366
AK,2021-10-19,prediction,3077.2616935454366
AK,2021-10-20,prediction,3077.2616935454366
AK,2021-10-21,prediction,3077.2616935454366
AK,2021-10-22,prediction,3077.2616935454366
AK,2021-10-23,prediction,3077.2616935454366
AK,2021-10-24,prediction,3077.2616935454366
AK,2021-10-25,prediction,3077.2616935454366
AK,2021-10-26,prediction,3077.2616935454366
AK,2021-10-27,prediction,3077.2616935454366
AK,2021-10-28,prediction,3077.2616935454366
AK,2021-10-29,prediction,3077.2616935454366
AK,2021-10-30,prediction,3077.2616935454366
AK,2021-10-31,prediction,3077.2616935454366
AK,2021-11-01,prediction,3077.2616935454366
AK,2021-11-02,prediction,3077.2616935454366
AK,2021-11-03,prediction,3077.2616935454366
AK,2021-11-04,prediction,3077.2616935454366
AK,2021-11-05,prediction,3077.2616935454366
AK,2021-11-06,forecast,3077.2616935454366
AK,2021-11-07,forecast,3077.2616935454366
AK,2021-11-08,forecast,3077.2616935454366
AK,2021-11-09,forecast,3077.2616935454366
AK,2021-11-10,forecast,3077.2616935454366
AK,2021-11-11,forecast,3077.2616935454366
AK,2021-11-12,forecast,3077.2616935454366
AK,2021-11-13,forecast,3077.2616935454366
AK,2021-11-14,forecast,3077.2616935454366
AK,2021-11-15,forecast,3077.2616935454366
AK,2021-11-16,forecast,3077.2616935454366
AK,2021-11-17,forecast,3077.2616935454366
AK,2021-11-18,forecast,3077.2616935454366
AK,2021-11-19,forecast,3077.2616935454366
AK,2021-11-20,forecast,3077.2616935454366
AK,2021-11-21,forecast,3077.2616935454366
AK,2021-11-22,forecast,3077.2616935454366
AK,2021-11-23,forecast,3077.2616935454366
AK,2021-11-24,forecast,3077.2616935454366
AK,2021-11-25,forecast,3077.2616935454366
AK,2021-11-26,forecast,3077.2616935454366
AK,2021-11-27,forecast,3077.2616935454366
AK,2021-11-28,forecast,3077.2616935454366
AK,2021-11-29,forecast,3077.2616935454366
AK,2021-11-30,forecast,3077.2616935454366
AK,2021-12-01,forecast,3077.2616935454366
AK,2021-12-02,forecast,3077.2616935454366
AK,2021-12-03,forecast,3077.2616935454366
AL,2021-10-16,prediction,3077.2616935454366
AL,2021-10-17,prediction,3077.2616935454366
AL,2021-10-18,prediction,3077.2616935454366
AL,2021-10-19,prediction,3077.2616935454366
AL,2021-10-20,prediction,3077.2616935454366
AL,2021-10-21,prediction,3077.2616935454366
AL,2021-10-22,prediction,3077.2616935454366
AL,2021-10-23,prediction,3077.2616935454366
AL,2021-10-24,prediction,3077.2616935454366
AL,2021-10-25,prediction,3077.2616935454366
AL,2021-10-26,prediction,3077.2616935454366
AL,2021-10-27,prediction,3077.2616935454366
AL,2021-10-28,prediction,3077.2616935454366
AL,2021-10-29,prediction,3077.2616935454366
AL,2021-10-30,prediction,3077.2616935454366
AL,2021-10-31,prediction,3077.2616935454366
AL,2021-11-01,prediction,3077.2616935454366
AL,2021-11-02,prediction,3077.2616935454366
AL,2021-11-03,prediction,3077.2616935454366
AL,2021-11-04,prediction,3077.2616935454366
AL,2021-11-05,prediction,3077.2616935454366
AL,2021-11-06,forecast,3077.2616935454366
AL,2021-11-07,forecast,3077.2616935454366
AL,2021-11-08,forecast,3077.2616935454366
AL,2021-11-09,forecast,3077.2616935454366
AL,2021-11-10,forecast,3077.2616935454366
AL,2021-11-11,forecast,3077.2616935454366
AL,2021-11-12,forecast,3077.2616935454366
AL,2021-11-13,forecast,3077.2616935454366
AL,2021-11-14,forecast,3077.2616935454366
AL,2021-11-15,forecast,3077.2616935454366
AL,2021-11-16,forecast,3077.2616935454366
AL,2021-11-17,forecast,3077.2616935454366
AL,2021-11-18,forecast,3077.2616935454366
AL,2021-11-19,forecast,3077.2616935454366
AL,2021-11-20,forecast,3077.2616935454366
AL,2021-11-21,forecast,3077.2616935454366
AL,2021-11-22,forecast,3077.2616935454366
AL,2021-11-23,forecast,3077.2616935454366
AL,2021-11-24,forecast,3077.2616935454366
AL,2021-11-25,forecast,3077.2616935454366
AL,2021-11-26,forecast,3077.2616935454366
AL,2021-11-27,forecast,3077.2616935454366
AL,2021-11-28,forecast,3077.2616935454366
AL,2021-11-29,forecast,3077.2616935454366
AL,2021-11-30,forecast,3077.2616935454366
AL,2021-12-01,forecast,3077.2616935454366
AL,2021-12-02,forecast,3077.2616935454366
AL,2021-12-03,forecast,3077.2616935454366
AR,2021-10-16,prediction,3077.2616935454366
AR,2021-10-17,prediction,3077.2616935454366
AR,2021-10-18,prediction,3077.2616935454366
AR,2021-10-19,prediction,3077.2616935454366
AR,2021-10-20,prediction,3077.2616935454366
AR,2021-10-21,prediction,3077.2616935454366
AR,2021-10-22,prediction,3077.2616935454366
AR,2021-10-23,prediction,3077.2616935454366
AR,2021-10-24,prediction,3077.2616935454366
AR,2021-10-25,prediction,3077.2616935454366
AR,2021-10-26,prediction,3077.2616935454366
AR,2021-10-27,prediction,3077.2616935454366
AR,2021-10-28,prediction,3077.2616935454366
AR,2021-10-29,prediction,3077.2616935454366
AR,2021-10-30,prediction,3077.2616935454366
AR,2021-10-31,prediction,3077.2616935454366
AR,2021-11-01,prediction,3077.2616935454366
AR,2021-11-02,prediction,3077.2616935454366
AR,2021-11-03,prediction,3077.2616935454366
AR,2021-11-04,prediction,3077.2616935454366
AR,2021-11-05,prediction,3077.2616935454366
AR,2021-11-06,forecast,3077.2616935454366
AR,2021-11-07,forecast,3077.2616935454366
AR,2021-11-08,forecast,3077.2616935454366
AR,2021-11-09,forecast,3077.2616935454366
AR,2021-11-10,forecast,3077.2616935454366
AR,2021-11-11,forecast,3077.2616935454366
AR,2021-11-12,forecast,3077.2616935454366
AR,2021-11-13,forecast,3077.2616935454366
AR,2021-11-14,forecast,3077.2616935454366
AR,2021-11-15,forecast,3077.2616935454366
AR,2021-11-16,forecast,3077.2616935454366
AR,2021-11-17,forecast,3077.2616935454366
AR,2021-11-18,forecast,3077.2616935454366
AR,2021-11-19,forecast,3077.2616935454366
AR,2021-11-20,forecast,3077.2616935454366
AR,2021-11-21,forecast,3077.2616935454366
AR,2021-11-22,forecast,3077.2616935454366
AR,2021-11-23,forecast,3077.2616935454366
AR,2021-11-24,forecast,3077.2616935454366
AR,2021-11-25,forecast,3077.2616935454366
AR,2021-11-26,forecast,3077.2616935454366
AR,2021-11-27,forecast,3077.2616935454366
AR,2021-11-28,forecast,3077.2616935454366
AR,2021-11-29,forecast,3077.2616935454366
AR,2021-11-30,forecast,3077.2616935454366
AR,2021-12-01,forecast,3077.2616935454366
AR,2021-12-02,forecast,3077.2616935454366
AR,2021-12-03,forecast,3077.2616935454366
AZ,2021-10-16,prediction,3077.2616935454366
AZ,2021-10-17,prediction,3077.2616935454366
AZ,2021-10-18,prediction,3077.2616935454366
AZ,2021-10-19,prediction,3077.2616935454366
AZ,2021-10-20,prediction,3077.2616935454366
AZ,2021-10-21,prediction,3077.2616935454366
AZ,2021-10-22,prediction,3077.2616935454366
AZ,2021-10-23,prediction,3077.2616935454366
AZ,2021-10-24,prediction,3077.2616935454366
AZ,2021-10-25,prediction,3077.2616935454366
AZ,2021-10-26,prediction,3077.2616935454366
AZ,2021-10-27,prediction,3077.2616935454366
AZ,2021-10-28,prediction,3077.2616935454366
AZ,2021-10-29,prediction,3077.2616935454366
AZ,2021-10-30,prediction,3077.2616935454366
AZ,2021-10-31,prediction,3077.2616935454366
AZ,2021-11-01,prediction,3077.2616935454366
AZ,2021-11-02,prediction,3077.2616935454366
AZ,2021-11-03,prediction,3077.2616935454366
AZ,2021-11-04,prediction,3077.2616935454366
AZ,2021-11-05,prediction,3077.2616935454366
AZ,2021-11-06,forecast,3077.2616935454366
AZ,2021-11-07,forecast,3077.2616935454366
AZ,2021-11-08,forecast,3077.2616935454366
AZ,2021-11-09,forecast,3077.2616935454366
AZ,2021-11-10,forecast,3077.2616935454366
AZ,2021-11-11,forecast,3077.2616935454366
AZ,2021-11-12,forecast,3077.2616935454366
AZ,2021-11-13,forecast,3077.2616935454366
AZ,2021-11-14,forecast,3077.2616935454366
AZ,2021-11-15,forecast,3077.2616935454366
AZ,2021-11-16,forecast,3077.2616935454366
AZ,2021-11-17,forecast,3077.2616935454366
AZ,2021-11-18,forecast,3077.2616935454366
AZ,2021-11-19,forecast,3077.2616935454366
AZ,2021-11-20,forecast,3077.2616935454366
AZ,2021-11-21,forecast,3077.2616935454366
AZ,2021-11-22,forecast,3077.2616935454366
AZ,2021-11-23,forecast,3077.2616935454366
AZ,2021-11-24,forecast,3077.2616935454366
AZ,2021-11-25,forecast,3077.2616935454366
AZ,2021-11-26,forecast,3077.2616935454366
AZ,2021-11-27,forecast,3077.2616935454366
AZ,2021-11-28,forecast,3077.2616935454366
AZ,2021-11-29,forecast,3077.2616935454366
AZ,2021-11-30,forecast,3077.2616935454366
AZ,2021-12-01,forecast,3077.2616935454366
AZ,2021-12-02,forecast,3077.2616935454366
AZ,2021-12-03,forecast,3077.2616935454366
CA,2021-10-16,prediction,3077.2616935454366
CA,2021-10-17,prediction,3077.2616935454366
CA,2021-10-18,prediction,3077.2616935454366
CA,2021-10-19,prediction,3077.2616935454366
CA,2021-10-20,prediction,3077.2616935454366
CA,2021-10-21,prediction,3077.2616935454366
CA,2021-10-22,prediction,3077.2616935454366
CA,2021-10-23,prediction,3077.2616935454366
CA,2021-10-24,prediction,3077.2616935454366
CA,2021-10-25,prediction,3077.2616935454366
CA,2021-10-26,prediction,3077.2616935454366
CA,2021-10-27,prediction,3077.2616935454366
CA,2021-10-28,prediction,3077.2616935454366
CA,2021-10-29,prediction,3077.2616935454366
CA,2021-10-30,prediction,3077.2616935454366
CA,2021-10-31,prediction,3077.2616935454366
CA,2021-11-01,prediction,3077.2616935454366
CA,2021-11-02,prediction,3077.2616935454366
CA,2021-11-03,prediction,3077.2616935454366
CA,2021-11-04,prediction,3077.2616935454366
CA,2021-11-05,prediction,3077.2616935454366
CA,2021-11-06,forecast,3077.2616935454366
CA,2021-11-07,forecast,3077.2616935454366
CA,2021-11-08,forecast,3077.2616935454366
CA,2021-11-09,forecast,3077.2616935454366
CA,2021-11-10,forecast,3077.2616935454366
CA,2021-11-11,forecast,3077.2616935454366
CA,2021-11-12,forecast,3077.2616935454366
CA,2021-11-13,forecast,3077.2616935454366
CA,2021-11-14,forecast,3077.2616935454366
CA,2021-11-15,forecast,3077.2616935454366
CA,2021-11-16,forecast,3077.2616935454366
CA,2021-11-17,forecast,3077.2616935454366
CA,2021-11-18,forecast,3077.2616935454366
CA,2021-11-19,forecast,3077.2616935454366
CA,2021-11-20,forecast,3077.2616935454366
CA,2021-11-21,forecast,3077.2616935454366
CA,2021-11-22,forecast,3077.2616935454366
CA,2021-11-23,forecast,3077.2616935454366
CA,2021-11-24,forecast,3077.2616935454366
CA,2021-11-25,forecast,3077.2616935454366
CA,2021-11-26,forecast,3077.2616935454366
CA,2021-11-27,forecast,3077.2616935454366
CA,2021-11-28,forecast,3077.2616935454366
CA,2021-11-29,forecast,3077.2616935454366
CA,2021-11-30,forecast,3077.2616935454366
CA,2021-12-01,forecast,3077.2616935454366
CA,2021-12-02,forecast,3077.2616935454366
CA,2021-12-03,forecast,3077.2616935454366
CO,2021-10-16,prediction,3077.2616935454366
CO,2021-10-17,prediction,3077.2616935454366
CO,2021-10-18,prediction,3077.2616935454366
CO,2021-10-19,prediction,3077.2616935454366
CO,2021-10-20,prediction,3077.2616935454366
CO,2021-10-21,prediction,3077.2616935454366
CO,2021-10-22,prediction,3077.2616935454366
CO,2021-10-23,prediction,3077.2616935454366
CO,2021-10-24,prediction,3077.2616935454366
CO,2021-10-25,prediction,3077.2616935454366
CO,2021-10-26,prediction,3077.2616935454366
CO,2021-10-27,prediction,3077.2616935454366
CO,2021-10-28,prediction,3077.2616935454366
CO,2021-10-29,prediction,3077.2616935454366
CO,2021-10-30,prediction,3077.2616935454366
CO,2021-10-31,prediction,3077.2616935454366
CO,2021-11-01,prediction,3077.2616935454366
CO,2021-11-02,prediction,3077.2616935454366
CO,2021-11-03,prediction,3077.2616935454366
CO,2021-11-04,prediction,3077.2616935454366
CO,2021-11-05,prediction,3077.2616935454366
CO,2021-11-06,forecast,3077.2616935454366
CO,2021-11-07,forecast,3077.2616935454366
CO,2021-11-08,forecast,3077.2616935454366
CO,2021-11-09,forecast,3077.2616935454366
CO,2021-11-10,forecast,3077.2616935454366
CO,2021-11-11,forecast,3077.2616935454366
CO,2021-11-12,forecast,3077.2616935454366
CO,2021-11-13,forecast,3077.2616935454366
CO,2021-11-14,forecast,3077.2616935454366
CO,2021-11-15,forecast,3077.2616935454366
CO,2021-11-16,forecast,3077.2616935454366
CO,2021-11-17,forecast,3077.2616935454366
CO,2021-11-18,forecast,3077.2616935454366
CO,2021-11-19,forecast,3077.2616935454366
CO,2021-11-20,forecast,3077.2616935454366
CO,2021-11-21,forecast,3077.2616935454366
CO,2021-11-22,forecast,3077.2616935454366
CO,2021-11-23,forecast,3077.2616935454366
CO,2021-11-24,forecast,3077.2616935454366
CO,2021-11-25,forecast,3077.2616935454366
CO,2021-11-26,forecast,3077.2616935454366
CO,2021-11-27,forecast,3077.2616935454366
CO,2021-11-28,forecast,3077.2616935454366
CO,2021-11-29,forecast,3077.2616935454366
CO,2021-11-30,forecast,3077.2616935454366
CO,2021-12-01,forecast,3077.2616935454366
CO,2021-12-02,forecast,3077.2616935454366
CO,2021-12-03,forecast,3077.2616935454366
DE,2021-10-16,prediction,3077.2616935454366
DE,2021-10-17,prediction,3077.2616935454366
DE,2021-10-18,prediction,3077.2616935454366
DE,2021-10-19,prediction,3077.2616935454366
DE,2021-10-20,prediction,3077.2616935454366
DE,2021-10-21,prediction,3077.2616935454366
DE,2021-10-22,prediction,3077.2616935454366
DE,2021-10-23,prediction,3077.2616935454366
DE,2021-10-24,prediction,3077.2616935454366
DE,2021-10-25,prediction,3077.2616935454366
DE,2021-10-26,prediction,3077.2616935454366
DE,2021-10-27,prediction,3077.2616935454366
DE,2021-10-28,prediction,3077.2616935454366
DE,2021-10-29,prediction,3077.2616935454366
DE,2021-10-30,prediction,3077.2616935454366
DE,2021-10-31,prediction,3077.2616935454366
DE,2021-11-01,prediction,3077.2616935454366
DE,2021-11-02,prediction,3077.2616935454366
DE,2021-11-03,prediction,3077.2616935454366
DE,2021-11-04,prediction,3077.2616935454366
DE,2021-11-05,prediction,3077.2616935454366
DE,2021-11-06,forecast,3077.2616935454366
DE,2021-11-07,forecast,3077.2616935454366
DE,2021-11-08,forecast,3077.2616935454366
DE,2021-11-09,forecast,3077.2616935454366
DE,2021-11-10,forecast,3077.2616935454366
DE,2021-11-11,forecast,3077.2616935454366
DE,2021-11-12,forecast,3077.2616935454366
DE,2021-11-13,forecast,3077.2616935454366
DE,2021-11-14,forecast,3077.2616935454366
DE,2021-11-15,forecast,3077.2616935454366
DE,2021-11-16,forecast,3077.2616935454366
DE,2021-11-17,forecast,3077.2616935454366
DE,2021-11-18,forecast,3077.2616935454366
DE,2021-11-19,forecast,3077.2616935454366
DE,2021-11-20,forecast,3077.2616935454366
DE,2021-11-21,forecast,3077.2616935454366
DE,2021-11-22,forecast,3077.2616935454366
DE,2021-11-23,forecast,3077.2616935454366
DE,2021-11-24,forecast,3077.2616935454366
DE,2021-11-25,forecast,3077.2616935454366
DE,2021-11-26,forecast,3077.2616935454366
DE,2021-11-27,forecast,3077.2616935454366
DE,2021-11-28,forecast,3077.2616935454366
DE,2021-11-29,forecast,3077.2616935454366
DE,2021-11-30,forecast,3077.2616935454366
DE,2021-12-01,forecast,3077.2616935454366
DE,2021-12-02,forecast,3077.2616935454366
DE,2021-12-03,forecast,3077.2616935454366
FL,2021-10-16,prediction,3077.2616935454366
FL,2021-10-17,prediction,3077.2616935454366
FL,2021-10-18,prediction,3077.2616935454366
FL,2021-10-19,prediction,3077.2616935454366
FL,2021-10-20,prediction,3077.2616935454366
FL,2021-10-21,prediction,3077.2616935454366
FL,2021-10-22,prediction,3077.2616935454366
FL,2021-10-23,prediction,3077.2616935454366
FL,2021-10-24,prediction,3077.2616935454366
FL,2021-10-25,prediction,3077.2616935454366
FL,2021-10-26,prediction,3077.2616935454366
FL,2021-10-27,prediction,3077.2616935454366
FL,2021-10-28,prediction,3077.2616935454366
FL,2021-10-29,prediction,3077.2616935454366
FL,2021-10-30,prediction,3077.2616935454366
FL,2021-10-31,prediction,3077.2616935454366
FL,2021-11-01,prediction,3077.2616935454366
FL,2021-11-02,prediction,3077.2616935454366
FL,2021-11-03,prediction,3077.2616935454366
FL,2021-11-04,prediction,3077.2616935454366
FL,2021-11-05,prediction,3077.2616935454366
FL,2021-11-06,forecast,3077.2616935454366
FL,2021-11-07,forecast,3077.2616935454366
FL,2021-11-08,forecast,3077.2616935454366
FL,2021-11-09,forecast,3077.2616935454366
FL,2021-11-10,forecast,3077.2616935454366
FL,2021-11-11,forecast,3077.2616935454366
FL,2021-11-12,forecast,3077.2616935454366
FL,2021-11-13,forecast,3077.2616935454366
FL,2021-11-14,forecast,3077.2616935454366
FL,2021-11-15,forecast,3077.2616935454366
FL,2021-11-16,forecast,3077.2616935454366
FL,2021-11-17,forecast,3077.2616935454366
FL,2021-11-18,forecast,3077.2616935454366
FL,2021-11-19,forecast,3077.2616935454366
FL,2021-11-20,forecast,3077.2616935454366
FL,2021-11-21,forecast,3077.2616935454366
FL,2021-11-22,forecast,3077.2616935454366
FL,2021-11-23,forecast,3077.2616935454366
FL,2021-11-24,forecast,3077.2616935454366
FL,2021-11-25,forecast,3077.2616935454366
FL,2021-11-26,forecast,3077.2616935454366
FL,2021-11-27,forecast,3077.2616935454366
FL,2021-11-28,forecast,3077.2616935454366
FL,2021-11-29,forecast,3077.2616935454366
FL,2021-11-30,forecast,3077.2616935454366
FL,2021-12-01,forecast,3077.2616935454366
FL,2021-12-02,forecast,3077.2616935454366
FL,2021-12-03,forecast,3077.2616935454366
SD,2021-10-16,prediction,3077.2616935454366
SD,2021-10-17,prediction,3077.2616935454366
SD,2021-10-18,prediction,3077.2616935454366
SD,2021-10-19,prediction,3077.2616935454366
SD,2021-10-20,prediction,3077.2616935454366
SD,2021-10-21,prediction,3077.2616935454366
SD,2021-10-22,prediction,3077.2616935454366
SD,2021-10-23,prediction,3077.2616935454366
SD,2021-10-24,prediction,3077.2616935454366
SD,2021-10-25,prediction,3077.2616935454366
SD,2021-10-26,prediction,3077.2616935454366
SD,2021-10-27,prediction,3077.2616935454366
SD,2021-10-28,prediction,3077.2616935454366
SD,2021-10-29,prediction,3077.2616935454366
SD,2021-10-30,prediction,3077.2616935454366
SD,2021-10-31,prediction,3077.2616935454366
SD,2021-11-01,prediction,3077.2616935454366
SD,2021-11-02,prediction,3077.2616935454366
SD,2021-11-03,prediction,3077.2616935454366
SD,2021-11-04,prediction,3077.2616935454366
SD,2021-11-05,prediction,3077.2616935454366
SD,2021-11-06,forecast,3077.2616935454366
SD,2021-11-07,forecast,3077.2616935454366
SD,2021-11-08,forecast,3077.2616935454366
SD,2021-11-09,forecast,3077.2616935454366
SD,2021-11-10,forecast,3077.2616935454366
SD,2021-11-11,forecast,3077.2616935454366
SD,2021-11-12,forecast,3077.2616935454366
SD,2021-11-13,forecast,3077.2616935454366
SD,2021-11-14,forecast,3077.2616935454366
SD,2021-11-15,forecast,3077.2616935454366
SD,2021-11-16,forecast,3077.2616935454366
SD,2021-11-17,forecast,3077.2616935454366
SD,2021-11-18,forecast,3077.2616935454366
